,precision,recall,f1-score,support
0,0.6865671641791045,0.696969696969697,0.6917293233082706,66.0
1,0.7962962962962963,0.86,0.8269230769230769,50.0
2,0.7068965517241379,0.5857142857142857,0.640625,70.0
3,0.8690476190476191,0.6517857142857143,0.7448979591836735,112.0
4,0.9767441860465116,0.9333333333333333,0.9545454545454546,45.0
5,0.9375,0.8823529411764706,0.9090909090909091,51.0
6,0.6190476190476191,0.5777777777777777,0.5977011494252874,45.0
7,0.8,0.8571428571428571,0.8275862068965517,28.0
8,0.9285714285714286,1.0,0.9629629629629629,26.0
9,0.6774193548387096,0.6774193548387096,0.6774193548387096,31.0
10,0.9117647058823529,0.96875,0.9393939393939394,32.0
11,0.7,0.65625,0.6774193548387096,32.0
12,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
13,0.9253731343283582,0.6326530612244898,0.7515151515151515,196.0
14,0.5294117647058824,0.7714285714285715,0.627906976744186,35.0
15,0.7575757575757576,0.8928571428571429,0.819672131147541,28.0
16,0.92,0.92,0.92,25.0
17,0.62,0.7560975609756098,0.6813186813186813,41.0
18,0.7037037037037037,0.95,0.8085106382978723,40.0
19,0.4444444444444444,0.5333333333333333,0.48484848484848486,15.0
20,0.509090909090909,0.6511627906976745,0.5714285714285714,43.0
21,0.696969696969697,0.71875,0.7076923076923077,32.0
22,0.8020833333333334,0.5167785234899329,0.6285714285714286,149.0
23,0.625,0.6521739130434783,0.6382978723404256,23.0
24,0.6,0.6666666666666666,0.631578947368421,9.0
25,0.7586206896551724,0.8148148148148148,0.7857142857142857,27.0
26,0.7083333333333334,0.7727272727272727,0.7391304347826086,22.0
27,0.7037037037037037,0.7916666666666666,0.7450980392156863,24.0
28,0.7777777777777778,0.7368421052631579,0.7567567567567568,19.0
29,0.9787234042553191,0.8846153846153846,0.9292929292929293,52.0
30,0.9523809523809523,1.0,0.975609756097561,20.0
31,0.7317073170731707,0.7317073170731707,0.7317073170731707,41.0
32,1.0,0.8,0.8888888888888888,20.0
33,0.7777777777777778,0.84,0.8076923076923077,25.0
34,0.696969696969697,0.8846153846153846,0.7796610169491526,26.0
35,0.5952380952380952,0.5434782608695652,0.5681818181818182,46.0
36,0.92,1.0,0.9583333333333334,23.0
37,0.5365853658536586,0.4230769230769231,0.4731182795698925,52.0
38,0.85,0.85,0.85,20.0
39,0.35714285714285715,0.7142857142857143,0.47619047619047616,7.0
40,1.0,0.95,0.9743589743589743,20.0
41,0.5454545454545454,0.32432432432432434,0.4067796610169492,37.0
42,0.59375,0.48717948717948717,0.5352112676056338,39.0
43,0.5416666666666666,0.43333333333333335,0.48148148148148145,30.0
44,0.0,0.0,0.0,2.0
45,0.25,0.5,0.3333333333333333,4.0
46,0.41935483870967744,0.24074074074074073,0.3058823529411765,108.0
47,0.08333333333333333,0.14285714285714285,0.10526315789473684,7.0
48,0.24,0.2857142857142857,0.2608695652173913,42.0
49,1.0,0.5,0.6666666666666666,2.0
50,0.31746031746031744,0.3508771929824561,0.3333333333333333,57.0
51,0.5,0.7777777777777778,0.6086956521739131,9.0
52,0.4,0.6,0.48,10.0
53,0.5714285714285714,1.0,0.7272727272727273,12.0
54,0.3888888888888889,0.56,0.45901639344262296,25.0
55,1.0,0.6666666666666666,0.8,3.0
56,0.23333333333333334,0.4666666666666667,0.3111111111111111,15.0
57,0.95,0.8260869565217391,0.8837209302325582,23.0
58,0.5,0.2608695652173913,0.34285714285714286,23.0
59,0.8,0.7058823529411765,0.75,17.0
60,0.2727272727272727,0.3076923076923077,0.2891566265060241,39.0
61,0.45454545454545453,0.28846153846153844,0.35294117647058826,52.0
62,0.6538461538461539,0.7083333333333334,0.68,48.0
63,0.9482758620689655,0.8461538461538461,0.8943089430894309,65.0
64,0.9259259259259259,0.9615384615384616,0.9433962264150944,26.0
65,0.46296296296296297,0.5263157894736842,0.49261083743842365,95.0
66,0.782608695652174,0.8852459016393442,0.8307692307692308,61.0
67,0.8378378378378378,0.7560975609756098,0.7948717948717948,41.0
68,0.6170212765957447,0.725,0.6666666666666666,40.0
69,0.8253968253968254,0.8813559322033898,0.8524590163934426,59.0
70,0.7777777777777778,0.5072463768115942,0.6140350877192983,69.0
71,0.20634920634920634,0.3333333333333333,0.2549019607843137,39.0
72,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
73,0.6888888888888889,0.7380952380952381,0.7126436781609196,42.0
74,0.6097560975609756,0.6756756756756757,0.6410256410256411,37.0
75,0.782608695652174,0.8571428571428571,0.8181818181818182,21.0
76,0.6285714285714286,0.5365853658536586,0.5789473684210527,41.0
77,0.8837209302325582,0.9743589743589743,0.926829268292683,39.0
78,0.8095238095238095,0.8292682926829268,0.8192771084337349,41.0
79,0.1111111111111111,0.4,0.17391304347826086,5.0
80,0.6909090909090909,0.8837209302325582,0.7755102040816326,43.0
81,0.6534653465346535,0.5116279069767442,0.5739130434782609,129.0
82,0.6111111111111112,0.4925373134328358,0.5454545454545454,67.0
83,0.8275862068965517,0.7868852459016393,0.8067226890756303,61.0
84,0.84,0.8076923076923077,0.8235294117647058,26.0
85,0.9047619047619048,0.9743589743589743,0.9382716049382716,39.0
86,0.775,0.7560975609756098,0.7654320987654321,41.0
87,0.7142857142857143,1.0,0.8333333333333334,5.0
88,0.0,0.0,0.0,1.0
89,0.0,0.0,0.0,3.0
90,0.25,0.3333333333333333,0.2857142857142857,3.0
91,0.4,0.6666666666666666,0.5,6.0
92,0.0,0.0,0.0,4.0
93,0.0,0.0,0.0,1.0
94,0.2857142857142857,0.3333333333333333,0.3076923076923077,6.0
95,0.5714285714285714,0.9230769230769231,0.7058823529411765,13.0
96,0.6666666666666666,0.5263157894736842,0.5882352941176471,19.0
97,0.8837209302325582,0.95,0.9156626506024096,40.0
99,0.0,0.0,0.0,1.0
100,0.1875,0.375,0.25,8.0
101,0.9111111111111111,0.9761904761904762,0.9425287356321839,42.0
102,1.0,0.5,0.6666666666666666,2.0
103,0.9318181818181818,0.8367346938775511,0.8817204301075269,49.0
104,1.0,0.925,0.961038961038961,40.0
105,0.8947368421052632,0.7391304347826086,0.8095238095238095,23.0
106,0.25,0.625,0.35714285714285715,8.0
107,0.7872340425531915,0.6727272727272727,0.7254901960784313,55.0
108,0.803921568627451,0.6833333333333333,0.7387387387387387,60.0
109,0.8333333333333334,0.7894736842105263,0.8108108108108109,57.0
110,0.8421052631578947,0.7272727272727273,0.7804878048780488,44.0
111,0.9459459459459459,0.7777777777777778,0.8536585365853658,45.0
112,0.375,0.6206896551724138,0.4675324675324675,29.0
113,0.14492753623188406,0.3225806451612903,0.2,31.0
114,0.0,0.0,0.0,2.0
115,0.4,0.5,0.4444444444444444,8.0
116,0.5555555555555556,0.8333333333333334,0.6666666666666666,6.0
117,0.1,0.3333333333333333,0.15384615384615385,3.0
118,0.0,0.0,0.0,1.0
119,0.0,0.0,0.0,1.0
120,0.8823529411764706,0.6818181818181818,0.7692307692307693,22.0
121,0.8333333333333334,0.8,0.8163265306122449,25.0
122,0.9411764705882353,0.8,0.8648648648648649,40.0
123,0.8723404255319149,0.7192982456140351,0.7884615384615384,57.0
124,0.7857142857142857,0.8048780487804879,0.7951807228915663,41.0
125,0.9047619047619048,0.926829268292683,0.9156626506024096,41.0
126,0.8163265306122449,0.9090909090909091,0.8602150537634409,44.0
127,0.6785714285714286,0.8444444444444444,0.7524752475247525,45.0
129,0.975,0.975,0.975,40.0
130,0.925,1.0,0.961038961038961,37.0
131,0.6567164179104478,0.6567164179104478,0.6567164179104478,67.0
132,0.9090909090909091,1.0,0.9523809523809523,40.0
133,0.84,0.84,0.84,50.0
134,0.96875,0.9393939393939394,0.9538461538461539,33.0
135,0.9,0.9,0.9,40.0
136,0.7058823529411765,0.5454545454545454,0.6153846153846154,22.0
137,0.0,0.0,0.0,2.0
138,0.9357798165137615,0.9026548672566371,0.918918918918919,113.0
139,0.5833333333333334,0.2916666666666667,0.3888888888888889,24.0
140,0.8805970149253731,1.0,0.9365079365079365,59.0
141,0.8507462686567164,0.8769230769230769,0.8636363636363636,65.0
142,0.8571428571428571,0.72,0.782608695652174,25.0
143,0.7619047619047619,0.6956521739130435,0.7272727272727273,23.0
144,0.95,1.0,0.9743589743589743,19.0
145,0.7894736842105263,0.9375,0.8571428571428571,16.0
146,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
147,1.0,0.9444444444444444,0.9714285714285714,18.0
148,0.75,1.0,0.8571428571428571,18.0
149,0.8181818181818182,0.9230769230769231,0.8674698795180723,39.0
150,0.9473684210526315,1.0,0.972972972972973,18.0
151,0.9333333333333333,0.875,0.9032258064516129,16.0
152,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0
153,0.9473684210526315,1.0,0.972972972972973,18.0
154,0.76,1.0,0.8636363636363636,19.0
155,0.9375,0.8823529411764706,0.9090909090909091,17.0
156,0.8823529411764706,0.8333333333333334,0.8571428571428571,18.0
157,0.9354838709677419,0.90625,0.9206349206349206,32.0
158,0.625,0.3508771929824561,0.449438202247191,114.0
159,0.44680851063829785,0.5384615384615384,0.4883720930232558,39.0
160,0.6666666666666666,0.7,0.6829268292682927,20.0
161,0.8095238095238095,0.85,0.8292682926829268,20.0
162,0.3333333333333333,0.5,0.4,4.0
163,0.7407407407407407,0.9090909090909091,0.8163265306122449,22.0
164,0.4444444444444444,0.5454545454545454,0.4897959183673469,22.0
165,0.21428571428571427,0.6,0.3157894736842105,5.0
166,0.4166666666666667,0.7352941176470589,0.5319148936170213,34.0
167,0.6363636363636364,0.875,0.7368421052631579,16.0
168,0.32857142857142857,0.1885245901639344,0.23958333333333334,122.0
169,0.17391304347826086,0.06557377049180328,0.09523809523809523,61.0
170,0.603448275862069,0.4166666666666667,0.49295774647887325,168.0
171,0.0,0.0,0.0,2.0
172,0.2,0.3333333333333333,0.25,3.0
173,0.3125,0.8333333333333334,0.45454545454545453,6.0
174,0.20930232558139536,0.375,0.26865671641791045,24.0
175,0.9230769230769231,0.6666666666666666,0.7741935483870968,18.0
176,0.6818181818181818,0.9375,0.7894736842105263,16.0
177,0.631578947368421,0.5217391304347826,0.5714285714285714,23.0
178,0.625,0.8333333333333334,0.7142857142857143,18.0
179,0.25806451612903225,0.12121212121212122,0.16494845360824742,66.0
180,0.4090909090909091,0.3103448275862069,0.35294117647058826,29.0
181,0.5555555555555556,0.75,0.6382978723404256,20.0
182,0.36363636363636365,0.38095238095238093,0.37209302325581395,21.0
183,0.6363636363636364,0.6086956521739131,0.6222222222222222,23.0
184,0.65625,0.9130434782608695,0.7636363636363637,23.0
185,0.4418604651162791,0.4634146341463415,0.4523809523809524,41.0
186,0.6666666666666666,0.7777777777777778,0.717948717948718,18.0
187,0.5714285714285714,0.8888888888888888,0.6956521739130435,18.0
188,0.6521739130434783,0.6818181818181818,0.6666666666666666,22.0
190,0.5,0.6,0.5454545454545454,20.0
191,0.4838709677419355,0.5769230769230769,0.5263157894736842,26.0
192,0.7307692307692307,0.8260869565217391,0.7755102040816326,23.0
193,0.8571428571428571,1.0,0.9230769230769231,6.0
194,0.5,0.8571428571428571,0.631578947368421,14.0
195,0.42857142857142855,0.6428571428571429,0.5142857142857142,14.0
196,0.5666666666666667,0.7083333333333334,0.6296296296296297,24.0
197,0.3076923076923077,0.2222222222222222,0.25806451612903225,18.0
198,0.5833333333333334,0.6363636363636364,0.6086956521739131,11.0
199,0.38461538461538464,0.1282051282051282,0.19230769230769232,39.0
200,0.7272727272727273,0.8421052631578947,0.7804878048780488,19.0
201,0.6666666666666666,0.7619047619047619,0.7111111111111111,21.0
202,0.75,0.7894736842105263,0.7692307692307693,19.0
203,0.6818181818181818,0.9375,0.7894736842105263,16.0
204,0.6153846153846154,0.9411764705882353,0.7441860465116279,17.0
205,0.8571428571428571,0.6666666666666666,0.75,18.0
206,0.05,0.375,0.08823529411764706,16.0
209,0.08695652173913043,0.2222222222222222,0.125,9.0
210,0.16393442622950818,0.17543859649122806,0.1694915254237288,57.0
211,0.6122448979591837,0.5769230769230769,0.594059405940594,52.0
212,0.6153846153846154,0.42105263157894735,0.5,19.0
213,0.5294117647058824,0.5625,0.5454545454545454,16.0
214,0.0,0.0,0.0,3.0
215,0.5263157894736842,0.7142857142857143,0.6060606060606061,14.0
216,0.55,0.4782608695652174,0.5116279069767442,23.0
217,0.41935483870967744,0.52,0.4642857142857143,25.0
218,0.6842105263157895,0.7647058823529411,0.7222222222222222,17.0
219,0.6875,0.9166666666666666,0.7857142857142857,12.0
220,0.5625,0.75,0.6428571428571429,12.0
221,0.9333333333333333,1.0,0.9655172413793104,14.0
222,0.1875,0.08333333333333333,0.11538461538461539,36.0
223,0.8157894736842105,0.7560975609756098,0.7848101265822784,41.0
224,0.5769230769230769,0.5172413793103449,0.5454545454545454,29.0
225,0.375,0.4,0.3870967741935484,15.0
226,0.4444444444444444,0.3870967741935484,0.41379310344827586,31.0
227,0.3194444444444444,0.4107142857142857,0.359375,56.0
228,0.6590909090909091,0.7837837837837838,0.7160493827160493,37.0
229,0.47058823529411764,0.8,0.5925925925925926,10.0
230,0.7,1.0,0.8235294117647058,14.0
231,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
232,0.5555555555555556,0.8333333333333334,0.6666666666666666,12.0
233,0.8,0.6666666666666666,0.7272727272727273,6.0
234,0.6666666666666666,1.0,0.8,8.0
235,0.6428571428571429,0.75,0.6923076923076923,12.0
236,0.8666666666666667,0.65,0.7428571428571429,20.0
237,0.7142857142857143,1.0,0.8333333333333334,10.0
238,0.5060240963855421,0.4,0.44680851063829785,105.0
239,0.16,0.36363636363636365,0.2222222222222222,11.0
240,0.13636363636363635,0.25,0.17647058823529413,12.0
241,0.0,0.0,0.0,1.0
242,0.5217391304347826,0.37894736842105264,0.43902439024390244,95.0
243,1.0,1.0,1.0,6.0
244,0.75,0.6346153846153846,0.6875,52.0
245,0.5454545454545454,0.6666666666666666,0.6,27.0
